RUN	sushiShopLoad.sushiShopLoadSimulation	sushishoploadsimulation	1599828779658	 	3.3.1
USER	scenarioTwo	4	START	1599828780646	1599828780646
USER	scenarioOne	1	START	1599828780639	1599828780639
REQUEST	1		openMainPage	1599828780675	1599828780810	OK	 
USER	scenarioOne	1	END	1599828780639	1599828780872
REQUEST	4		makeAnOrder	1599828780675	1599828780820	OK	 
USER	scenarioTwo	4	END	1599828780646	1599828780906
USER	scenarioOne	2	START	1599828781648	1599828781648
REQUEST	2		openMainPage	1599828781650	1599828781771	OK	 
USER	scenarioOne	2	END	1599828781648	1599828781776
USER	scenarioOne	3	START	1599828782648	1599828782648
REQUEST	3		openMainPage	1599828782650	1599828782767	OK	 
USER	scenarioOne	3	END	1599828782648	1599828782769
USER	scenarioTwo	6	START	1599828783637	1599828783637
USER	scenarioOne	5	START	1599828783637	1599828783637
REQUEST	5		openMainPage	1599828783640	1599828783761	OK	 
USER	scenarioOne	5	END	1599828783637	1599828783764
REQUEST	6		makeAnOrder	1599828783641	1599828783766	OK	 
USER	scenarioTwo	6	END	1599828783637	1599828783772
USER	scenarioOne	7	START	1599828784637	1599828784637
REQUEST	7		openMainPage	1599828784640	1599828784747	OK	 
USER	scenarioOne	7	END	1599828784637	1599828784751
USER	scenarioOne	8	START	1599828785637	1599828785637
REQUEST	8		openMainPage	1599828785639	1599828785739	OK	 
USER	scenarioOne	8	END	1599828785637	1599828785743
USER	scenarioOne	9	START	1599828786638	1599828786638
REQUEST	9		openMainPage	1599828786640	1599828786742	OK	 
USER	scenarioOne	9	END	1599828786638	1599828786746
USER	scenarioTwo	11	START	1599828787637	1599828787637
USER	scenarioOne	10	START	1599828787647	1599828787647
REQUEST	11		makeAnOrder	1599828787639	1599828787750	OK	 
USER	scenarioTwo	11	END	1599828787637	1599828787755
REQUEST	10		openMainPage	1599828787649	1599828787751	OK	 
USER	scenarioOne	10	END	1599828787647	1599828787756
USER	scenarioOne	12	START	1599828788648	1599828788648
REQUEST	12		openMainPage	1599828788650	1599828788755	OK	 
USER	scenarioOne	12	END	1599828788648	1599828788760
USER	scenarioOne	13	START	1599828789638	1599828789638
REQUEST	13		openMainPage	1599828789640	1599828789745	OK	 
USER	scenarioOne	13	END	1599828789638	1599828789749
USER	scenarioTwo	15	START	1599828790648	1599828790648
USER	scenarioOne	14	START	1599828790647	1599828790647
REQUEST	14		openMainPage	1599828790650	1599828790753	OK	 
USER	scenarioOne	14	END	1599828790647	1599828790757
REQUEST	15		makeAnOrder	1599828790649	1599828790756	OK	 
USER	scenarioTwo	15	END	1599828790648	1599828790761
USER	scenarioOne	16	START	1599828791637	1599828791637
REQUEST	16		openMainPage	1599828791639	1599828791742	OK	 
USER	scenarioOne	16	END	1599828791637	1599828791745
USER	scenarioOne	17	START	1599828792637	1599828792637
REQUEST	17		openMainPage	1599828792639	1599828792741	OK	 
USER	scenarioOne	17	END	1599828792637	1599828792745
USER	scenarioOne	18	START	1599828793637	1599828793637
REQUEST	18		openMainPage	1599828793639	1599828793741	OK	 
USER	scenarioOne	18	END	1599828793637	1599828793745
USER	scenarioOne	19	START	1599828794638	1599828794638
USER	scenarioTwo	20	START	1599828794638	1599828794638
REQUEST	19		openMainPage	1599828794640	1599828794741	OK	 
USER	scenarioOne	19	END	1599828794638	1599828794744
REQUEST	20		makeAnOrder	1599828794641	1599828794745	OK	 
USER	scenarioTwo	20	END	1599828794638	1599828794748
USER	scenarioOne	21	START	1599828795648	1599828795648
REQUEST	21		openMainPage	1599828795650	1599828795750	OK	 
USER	scenarioOne	21	END	1599828795648	1599828795754
USER	scenarioOne	22	START	1599828796637	1599828796637
REQUEST	22		openMainPage	1599828796639	1599828796740	OK	 
USER	scenarioOne	22	END	1599828796637	1599828796744
USER	scenarioOne	23	START	1599828797647	1599828797647
REQUEST	23		openMainPage	1599828797649	1599828797750	OK	 
USER	scenarioOne	23	END	1599828797647	1599828797754
USER	scenarioTwo	25	START	1599828798637	1599828798637
USER	scenarioOne	24	START	1599828798648	1599828798648
REQUEST	24		openMainPage	1599828798648	1599828798750	OK	 
USER	scenarioOne	24	END	1599828798648	1599828798752
REQUEST	25		makeAnOrder	1599828798640	1599828798754	OK	 
USER	scenarioTwo	25	END	1599828798637	1599828798756
USER	scenarioOne	26	START	1599828799638	1599828799638
REQUEST	26		openMainPage	1599828799640	1599828799743	OK	 
USER	scenarioOne	26	END	1599828799638	1599828799746
USER	scenarioOne	27	START	1599828800647	1599828800647
REQUEST	27		openMainPage	1599828800649	1599828800752	OK	 
USER	scenarioOne	27	END	1599828800647	1599828800754
USER	scenarioOne	28	START	1599828801637	1599828801637
USER	scenarioTwo	29	START	1599828801637	1599828801637
REQUEST	28		openMainPage	1599828801639	1599828801741	OK	 
USER	scenarioOne	28	END	1599828801637	1599828801744
REQUEST	29		makeAnOrder	1599828801640	1599828801745	OK	 
USER	scenarioTwo	29	END	1599828801637	1599828801749
USER	scenarioOne	30	START	1599828802637	1599828802637
REQUEST	30		openMainPage	1599828802639	1599828802741	OK	 
USER	scenarioOne	30	END	1599828802637	1599828802744
USER	scenarioOne	31	START	1599828803637	1599828803637
REQUEST	31		openMainPage	1599828803639	1599828803744	OK	 
USER	scenarioOne	31	END	1599828803637	1599828803746
USER	scenarioOne	32	START	1599828804637	1599828804637
REQUEST	32		openMainPage	1599828804639	1599828804741	OK	 
USER	scenarioOne	32	END	1599828804637	1599828804744
USER	scenarioTwo	34	START	1599828805637	1599828805637
USER	scenarioOne	33	START	1599828805647	1599828805647
REQUEST	34		makeAnOrder	1599828805639	1599828805746	OK	 
USER	scenarioTwo	34	END	1599828805637	1599828805751
REQUEST	33		openMainPage	1599828805648	1599828805751	OK	 
USER	scenarioOne	33	END	1599828805647	1599828805754
USER	scenarioOne	35	START	1599828806647	1599828806647
REQUEST	35		openMainPage	1599828806649	1599828806750	OK	 
USER	scenarioOne	35	END	1599828806647	1599828806753
USER	scenarioOne	36	START	1599828807648	1599828807648
REQUEST	36		openMainPage	1599828807650	1599828807751	OK	 
USER	scenarioOne	36	END	1599828807648	1599828807754
USER	scenarioOne	37	START	1599828808637	1599828808637
USER	scenarioTwo	38	START	1599828808637	1599828808637
REQUEST	37		openMainPage	1599828808639	1599828808743	OK	 
USER	scenarioOne	37	END	1599828808637	1599828808746
REQUEST	38		makeAnOrder	1599828808639	1599828808746	OK	 
USER	scenarioTwo	38	END	1599828808637	1599828808750
USER	scenarioOne	39	START	1599828809647	1599828809647
REQUEST	39		openMainPage	1599828809649	1599828809751	OK	 
USER	scenarioOne	39	END	1599828809647	1599828809754
USER	scenarioOne	40	START	1599828810637	1599828810637
REQUEST	40		openMainPage	1599828810639	1599828810739	OK	 
USER	scenarioOne	40	END	1599828810637	1599828810744
USER	scenarioOne	41	START	1599828811637	1599828811637
REQUEST	41		openMainPage	1599828811639	1599828811740	OK	 
USER	scenarioOne	41	END	1599828811637	1599828811743
USER	scenarioTwo	43	START	1599828812637	1599828812637
USER	scenarioOne	42	START	1599828812647	1599828812647
REQUEST	43		makeAnOrder	1599828812639	1599828812746	OK	 
USER	scenarioTwo	43	END	1599828812637	1599828812749
REQUEST	42		openMainPage	1599828812648	1599828812749	OK	 
USER	scenarioOne	42	END	1599828812647	1599828812753
USER	scenarioOne	44	START	1599828813637	1599828813637
REQUEST	44		openMainPage	1599828813639	1599828813741	OK	 
USER	scenarioOne	44	END	1599828813637	1599828813744
USER	scenarioOne	45	START	1599828814648	1599828814648
REQUEST	45		openMainPage	1599828814650	1599828814752	OK	 
USER	scenarioOne	45	END	1599828814648	1599828814755
USER	scenarioOne	46	START	1599828815637	1599828815637
REQUEST	46		openMainPage	1599828815638	1599828815739	OK	 
USER	scenarioOne	46	END	1599828815637	1599828815740
USER	scenarioTwo	48	START	1599828816638	1599828816638
USER	scenarioOne	47	START	1599828816649	1599828816649
