RUN	sushiShopLoad.sushiShopLoadSimulation	sushishoploadsimulation	1599839557089	 	3.3.1
USER	scenarioThree	1	START	1599839558051	1599839558051
REQUEST	1		openMainPage	1599839558084	1599839558208	OK	 
REQUEST	1		makeAnOrder	1599839558252	1599839558319	OK	 
USER	scenarioThree	1	END	1599839558051	1599839558403
USER	scenarioThree	2	START	1599839558404	1599839558404
REQUEST	2		openMainPage	1599839558407	1599839558520	OK	 
REQUEST	2		makeAnOrder	1599839558522	1599839558578	OK	 
USER	scenarioThree	2	END	1599839558404	1599839558582
USER	scenarioThree	3	START	1599839558583	1599839558583
REQUEST	3		openMainPage	1599839558584	1599839558698	OK	 
REQUEST	3		makeAnOrder	1599839558702	1599839558757	OK	 
USER	scenarioThree	3	END	1599839558583	1599839558762
USER	scenarioThree	4	START	1599839558763	1599839558763
REQUEST	4		openMainPage	1599839558766	1599839558882	OK	 
REQUEST	4		makeAnOrder	1599839558886	1599839558940	OK	 
USER	scenarioThree	4	END	1599839558763	1599839558945
USER	scenarioThree	5	START	1599839558945	1599839558945
REQUEST	5		openMainPage	1599839558948	1599839559068	OK	 
REQUEST	5		makeAnOrder	1599839559073	1599839559128	OK	 
USER	scenarioThree	5	END	1599839558945	1599839559133
USER	scenarioThree	6	START	1599839559134	1599839559134
REQUEST	6		openMainPage	1599839559136	1599839559253	OK	 
REQUEST	6		makeAnOrder	1599839559259	1599839559315	OK	 
USER	scenarioThree	6	END	1599839559134	1599839559320
USER	scenarioThree	7	START	1599839559321	1599839559321
REQUEST	7		openMainPage	1599839559323	1599839559427	OK	 
REQUEST	7		makeAnOrder	1599839559430	1599839559485	OK	 
USER	scenarioThree	7	END	1599839559321	1599839559486
USER	scenarioThree	8	START	1599839559487	1599839559487
REQUEST	8		openMainPage	1599839559488	1599839559590	OK	 
REQUEST	8		makeAnOrder	1599839559595	1599839559650	OK	 
USER	scenarioThree	8	END	1599839559487	1599839559655
USER	scenarioThree	9	START	1599839559656	1599839559656
REQUEST	9		openMainPage	1599839559657	1599839559763	OK	 
REQUEST	9		makeAnOrder	1599839559766	1599839559819	OK	 
USER	scenarioThree	9	END	1599839559656	1599839559824
USER	scenarioThree	10	START	1599839559825	1599839559825
REQUEST	10		openMainPage	1599839559827	1599839559929	OK	 
