RUN	sushiShopLoad.sushiShopLoadSimulation	sushishoploadsimulation	1599843991701	 	3.3.1
USER	scenarioThree	1	START	1599843992826	1599843992826
REQUEST	1		openMainPage	1599843992866	1599843992981	OK	 
REQUEST	1		makeAnOrder	1599843993026	1599843993089	OK	 
USER	scenarioThree	1	END	1599843992826	1599843993166
USER	scenarioThree	2	START	1599843993167	1599843993167
REQUEST	2		openMainPage	1599843993168	1599843993278	OK	 
REQUEST	2		makeAnOrder	1599843993284	1599843993338	OK	 
USER	scenarioThree	2	END	1599843993167	1599843993346
USER	scenarioThree	3	START	1599843993348	1599843993348
REQUEST	3		openMainPage	1599843993350	1599843993462	OK	 
REQUEST	3		makeAnOrder	1599843993468	1599843993524	OK	 
USER	scenarioThree	3	END	1599843993348	1599843993526
USER	scenarioThree	4	START	1599843993528	1599843993528
REQUEST	4		openMainPage	1599843993530	1599843993642	OK	 
REQUEST	4		makeAnOrder	1599843993647	1599843993702	OK	 
USER	scenarioThree	4	END	1599843993528	1599843993707
USER	scenarioThree	5	START	1599843993708	1599843993708
REQUEST	5		openMainPage	1599843993710	1599843993818	OK	 
REQUEST	5		makeAnOrder	1599843993821	1599843993874	OK	 
USER	scenarioThree	5	END	1599843993708	1599843993876
USER	scenarioThree	6	START	1599843993877	1599843993877
REQUEST	6		openMainPage	1599843993878	1599843993985	OK	 
REQUEST	6		makeAnOrder	1599843993990	1599843994044	OK	 
USER	scenarioThree	6	END	1599843993877	1599843994049
USER	scenarioThree	7	START	1599843994050	1599843994050
REQUEST	7		openMainPage	1599843994052	1599843994160	OK	 
REQUEST	7		makeAnOrder	1599843994165	1599843994219	OK	 
USER	scenarioThree	7	END	1599843994050	1599843994221
USER	scenarioThree	8	START	1599843994222	1599843994222
REQUEST	8		openMainPage	1599843994223	1599843994325	OK	 
REQUEST	8		makeAnOrder	1599843994330	1599843994387	OK	 
USER	scenarioThree	8	END	1599843994222	1599843994389
USER	scenarioThree	9	START	1599843994389	1599843994389
REQUEST	9		openMainPage	1599843994391	1599843994496	OK	 
REQUEST	9		makeAnOrder	1599843994501	1599843994555	OK	 
USER	scenarioThree	9	END	1599843994389	1599843994559
USER	scenarioThree	10	START	1599843994560	1599843994560
REQUEST	10		openMainPage	1599843994562	1599843994665	OK	 
REQUEST	10		makeAnOrder	1599843994669	1599843994724	OK	 
USER	scenarioThree	10	END	1599843994560	1599843994729
USER	scenarioThree	11	START	1599843994730	1599843994730
REQUEST	11		openMainPage	1599843994732	1599843994835	OK	 
REQUEST	11		makeAnOrder	1599843994839	1599843994895	OK	 
USER	scenarioThree	11	END	1599843994730	1599843994899
USER	scenarioThree	12	START	1599843994900	1599843994900
REQUEST	12		openMainPage	1599843994902	1599843995005	OK	 
REQUEST	12		makeAnOrder	1599843995009	1599843995064	OK	 
USER	scenarioThree	12	END	1599843994900	1599843995067
USER	scenarioThree	13	START	1599843995067	1599843995067
REQUEST	13		openMainPage	1599843995069	1599843995175	OK	 
REQUEST	13		makeAnOrder	1599843995179	1599843995234	OK	 
USER	scenarioThree	13	END	1599843995067	1599843995238
USER	scenarioThree	14	START	1599843995238	1599843995238
REQUEST	14		openMainPage	1599843995239	1599843995342	OK	 
REQUEST	14		makeAnOrder	1599843995347	1599843995403	OK	 
